127,Learn to play Victoria
100,Throckmorton
75,Jenny
57,V
50,Richard
32,ProfessorOak
12,mee
9,Cloud Strife
9,Andrew YEAH
8,Subcommandante Marcos
5,Squal lLeonhart
3,dsdsdssd
3,MrCoolio
3,BlahBlah
3,MrFixedTheHighScoreFeatureAwwwwYEAAAAAAAAA
2,Caitsith
1,Victoria
0,sam
15,
